site,fish,flow,logged,dist_to_logging_km,,fish_pres
1,5,Strong,Not logged,3.396808309454544,,1
2,1,Strong,Logged,2.440759335417923,,1
3,6,Strong,Logged,2.4322577259797677,,1
4,0,Mild,Logged,0.19551118975176657,,0
5,0,Mild,Logged,0.35855435693962967,,0
6,3,Strong,Logged,2.6890645249107847,,1
7,0,Mild,Logged,1.9407191892621245,,0
8,0,Mild,Logged,1.0346189575809688,,0
9,0,Mild,Logged,3.4932910008346334,,0
10,0,Mild,Logged,3.554684704,,0
11,0,Mild,Logged,1.0964376135494256,,0
12,0,Mild,Logged,0.5461759022119785,,0
13,0,Mild,Logged,0.42796386541650444,,0
14,0,Mild,Logged,0.9497538487433067,,0
15,0,Mild,Logged,2.373746763097036,,0
16,0,Mild,Logged,0.6364336073208184,,0
17,0,Mild,Logged,3.2997712414623406,,0
18,1,Mild,Logged,2.546827909740638,,1
19,0,Mild,Logged,5.424184154372954,,0
20,0,Mild,Logged,1.319119373862783,,0
21,0,Mild,Logged,0.5451455041530564,,0
22,0,Mild,Logged,1.9703611567302812,,0
23,7,Mild,Not logged,11.414245373316415,,1
24,1,Mild,Not logged,8.420917986334667,,1
25,15,Mild,Not logged,7.205222294,,1
26,0,Mild,Not logged,10.14226446,,0
27,0,Mild,Not logged,13.913818608251356,,0
28,0,Mild,Not logged,13.75175209,,0
29,2,Mild,Not logged,11.755344979685418,,1
30,0,Mild,Not logged,22.06764218,,0
31,0,Mild,Not logged,16.524346221016557,,0
32,2,Mild,Not logged,22.418289810521216,,1
33,1,Mild,Not logged,20.82950337113118,,1
34,0,Mild,Not logged,20.732698203626516,,0
35,32,Mild,Not logged,19.570195704161023,,1
36,17,Mild,Not logged,19.86629626388578,,1
37,25,Mild,Not logged,21.19650137736741,,1
38,8,Mild,Not logged,15.528493463427818,,1
39,5,Mild,Not logged,13.82553756110496,,1
40,3,Mild,Not logged,11.285215418095639,,1
41,0,Mild,Not logged,10.291394354078628,,0
42,0,Mild,Not logged,7.699517318534567,,0
43,1,Mild,Not logged,7.028429808383415,,1
44,2,Mild,Not logged,8.716318094277138,,1
45,1,Mild,Not logged,11.839019165931811,,1
46,4,Strong,Not logged,4.650706719755632,,1
47,15,Strong,Not logged,3.642792342570188,,1
48,12,Strong,Not logged,3.7058324066138675,,1
49,8,Strong,Not logged,3.6572328916548478,,1
