id,x,y
1,-1.50,0
2,-1.25,0
3,-1.10,0
4,-0.95,0
5,-0.85,0
6,-0.75,0
7,-0.65,0
8,-0.55,0
9,-0.45,0
10,-0.35,0
11,-0.30,0
12,-0.20,0
13,-0.15,1
14,-0.05,0
15,0.00,0
16,0.10,1
17,0.15,1
18,0.20,0
19,0.30,1
20,0.35,1
21,0.45,1
22,0.50,1
23,0.55,0
24,0.65,1
25,0.70,1
26,0.80,1
27,0.90,1
28,0.95,1
29,1.05,1
30,1.10,1
31,-1.40,0
32,-1.00,0
33,-0.70,0
34,-0.40,0
35,-0.10,0
36,0.05,0
37,0.25,1
38,0.60,1
39,0.85,1
40,1.20,1
41,-1.20,0
42,-0.80,0
43,-0.50,0
44,-0.25,0
45,0.40,1
46,0.75,1
47,1.00,1
48,1.30,1
49,1.50,1
50,1.60,1
